MsgID.GLOBAL_POSITION,0.0000000,-122.3974498,37.7924802,0.1310000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,6.5280000,4199160.5000000,-10879762.0000000,-0.1315117
MsgID.LOCAL_VELOCITY,6.5280000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974516,37.7924813,0.1460000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,6.7800000,4199160.5000000,-10879763.0000000,-0.1464055
MsgID.LOCAL_VELOCITY,6.7800000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974517,37.7924805,0.1560000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,7.0290000,4199160.5000000,-10879763.0000000,-0.1569139
MsgID.LOCAL_VELOCITY,7.0290000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974506,37.7924792,0.1580000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,7.2800000,4199160.0000000,-10879763.0000000,-0.1587268
MsgID.LOCAL_VELOCITY,7.2800000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924789,0.1510000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,7.5300000,4199160.0000000,-10879762.0000000,-0.1512558
MsgID.LOCAL_VELOCITY,7.5300000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924807,0.1380000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,7.7800000,4199160.5000000,-10879762.0000000,-0.1380723
MsgID.LOCAL_VELOCITY,7.7800000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924802,0.1190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,8.0300000,4199160.5000000,-10879762.0000000,-0.1197039
MsgID.LOCAL_VELOCITY,8.0300000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974491,37.7924784,0.1050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,8.2800000,4199160.0000000,-10879762.0000000,-0.1054269
MsgID.LOCAL_VELOCITY,8.2800000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924785,0.0960000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,8.5310000,4199160.0000000,-10879762.0000000,-0.0962409
MsgID.LOCAL_VELOCITY,8.5310000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974504,37.7924794,0.0970000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,8.7800000,-0.1109634,0.2553356,-0.0976140
MsgID.LOCAL_VELOCITY,8.7800000,0.0000100,-0.0000000,0.0000505
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974494,37.7924794,0.2810000
MsgID.LOCAL_VELOCITY,0.0000000,0.0700000,-0.3100000,-0.6300000
MsgID.LOCAL_POSITION,9.0310000,-0.1129555,0.3417403,-0.2813953
MsgID.LOCAL_VELOCITY,9.0310000,0.0781292,-0.3150746,-0.6325961
MsgID.GLOBAL_POSITION,0.0000000,-122.3974511,37.7924787,0.4850000
MsgID.LOCAL_VELOCITY,0.0000000,0.3000000,-1.1700000,-1.5800000
MsgID.LOCAL_POSITION,9.2800000,-0.1906363,0.1929797,-0.4858718
MsgID.LOCAL_VELOCITY,9.2800000,0.3025143,-1.1746047,-1.5808799
MsgID.GLOBAL_POSITION,0.0000000,-122.3974568,37.7924808,1.1340000
MsgID.LOCAL_VELOCITY,0.0000000,0.2200000,-0.6600000,-2.8400000
MsgID.LOCAL_POSITION,9.5300000,0.0435303,-0.3105830,-1.1343485
MsgID.LOCAL_VELOCITY,9.5300000,0.2220956,-0.6651157,-2.8469226
MsgID.GLOBAL_POSITION,0.0000000,-122.3974542,37.7924808,1.8990000
MsgID.LOCAL_VELOCITY,0.0000000,-0.1600000,0.7400000,-3.3700000
MsgID.LOCAL_POSITION,9.7810000,0.0432074,-0.0840659,-1.8990914
MsgID.LOCAL_VELOCITY,9.7810000,-0.1693661,0.7496933,-3.3783355
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924797,2.8700000
MsgID.LOCAL_VELOCITY,0.0000000,-0.2900000,0.9200000,-3.4300000
MsgID.LOCAL_POSITION,10.0320000,-0.0835427,0.1573056,-2.8703873
MsgID.LOCAL_VELOCITY,10.0320000,-0.2983746,0.9248213,-3.4377618
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924809,3.4280000
MsgID.LOCAL_VELOCITY,0.0000000,-0.2500000,0.7700000,-1.1100000
MsgID.LOCAL_POSITION,10.2810000,0.0566865,0.2849710,-3.4287038
MsgID.LOCAL_VELOCITY,10.2810000,-0.2530848,0.7767252,-1.1187048
MsgID.GLOBAL_POSITION,0.0000000,-122.3974480,37.7924794,3.4630000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,0.5700000,0.6200000
MsgID.LOCAL_POSITION,10.5320000,-0.1173048,0.4716838,-3.4636860
MsgID.LOCAL_VELOCITY,10.5320000,0.0263220,0.5787107,0.6202695
MsgID.GLOBAL_POSITION,0.0000000,-122.3974461,37.7924787,3.2010000
MsgID.LOCAL_VELOCITY,0.0000000,0.7900000,0.4500000,1.3400000
MsgID.LOCAL_POSITION,10.7820000,-0.1916140,0.6381841,-3.2010498
MsgID.LOCAL_VELOCITY,10.7820000,0.7971103,0.4525804,1.3453636
